Year,Level,Division,Grade,Count
2018 - 2019,DIV,Prince Edward County Public Schools,2,146
2018 - 2019,DIV,Prince Edward County Public Schools,3,149
2018 - 2019,DIV,Prince Edward County Public Schools,4,151
2018 - 2019,DIV,Prince Edward County Public Schools,5,164
2018 - 2019,DIV,Prince Edward County Public Schools,6,143
2018 - 2019,DIV,Prince Edward County Public Schools,7,147
2018 - 2019,DIV,Prince Edward County Public Schools,8,153
2018 - 2019,DIV,Prince Edward County Public Schools,9,175
2018 - 2019,DIV,Prince Edward County Public Schools,10,172
2018 - 2019,DIV,Prince Edward County Public Schools,11,130
2018 - 2019,DIV,Prince Edward County Public Schools,12,142
2018 - 2019,DIV,Prince George County Public Schools,,6360
2018 - 2019,DIV,Prince George County Public Schools,PK,124
2018 - 2019,DIV,Prince George County Public Schools,KG,465
2018 - 2019,DIV,Prince George County Public Schools,1,492
2018 - 2019,DIV,Prince George County Public Schools,2,489
2018 - 2019,DIV,Prince George County Public Schools,3,465
2018 - 2019,DIV,Prince George County Public Schools,4,485
2018 - 2019,DIV,Prince George County Public Schools,5,498
2018 - 2019,DIV,Prince George County Public Schools,6,535
2018 - 2019,DIV,Prince George County Public Schools,7,527
2018 - 2019,DIV,Prince George County Public Schools,8,461
2018 - 2019,DIV,Prince George County Public Schools,9,498
2018 - 2019,DIV,Prince George County Public Schools,10,455
2018 - 2019,DIV,Prince George County Public Schools,11,430
2018 - 2019,DIV,Prince George County Public Schools,12,436
2018 - 2019,DIV,Prince William County Public Schools,,90876
2018 - 2019,DIV,Prince William County Public Schools,PK,1465
2018 - 2019,DIV,Prince William County Public Schools,KG,6244
2018 - 2019,DIV,Prince William County Public Schools,1,6683
2018 - 2019,DIV,Prince William County Public Schools,2,6614
2018 - 2019,DIV,Prince William County Public Schools,3,6699
2018 - 2019,DIV,Prince William County Public Schools,4,6910
2018 - 2019,DIV,Prince William County Public Schools,5,6941
2018 - 2019,DIV,Prince William County Public Schools,6,7121
2018 - 2019,DIV,Prince William County Public Schools,7,7176
2018 - 2019,DIV,Prince William County Public Schools,8,6790
2018 - 2019,DIV,Prince William County Public Schools,9,7535
2018 - 2019,DIV,Prince William County Public Schools,10,7124
2018 - 2019,DIV,Prince William County Public Schools,11,6945
2018 - 2019,DIV,Prince William County Public Schools,12,6629
2018 - 2019,DIV,Pulaski County Public Schools,,4081
2018 - 2019,DIV,Pulaski County Public Schools,PK,151
2018 - 2019,DIV,Pulaski County Public Schools,KG,323
2018 - 2019,DIV,Pulaski County Public Schools,1,309
2018 - 2019,DIV,Pulaski County Public Schools,2,266
2018 - 2019,DIV,Pulaski County Public Schools,3,283
2018 - 2019,DIV,Pulaski County Public Schools,4,292
2018 - 2019,DIV,Pulaski County Public Schools,5,332
2018 - 2019,DIV,Pulaski County Public Schools,6,300
2018 - 2019,DIV,Pulaski County Public Schools,7,286
2018 - 2019,DIV,Pulaski County Public Schools,8,310
2018 - 2019,DIV,Pulaski County Public Schools,9,340
2018 - 2019,DIV,Pulaski County Public Schools,10,296
2018 - 2019,DIV,Pulaski County Public Schools,11,282
2018 - 2019,DIV,Pulaski County Public Schools,12,311
2018 - 2019,DIV,Radford City Public Schools,,1646
2018 - 2019,DIV,Radford City Public Schools,PK,43
2018 - 2019,DIV,Radford City Public Schools,KG,112
2018 - 2019,DIV,Radford City Public Schools,1,115
2018 - 2019,DIV,Radford City Public Schools,2,116
2018 - 2019,DIV,Radford City Public Schools,3,105
2018 - 2019,DIV,Radford City Public Schools,4,128
2018 - 2019,DIV,Radford City Public Schools,5,115
2018 - 2019,DIV,Radford City Public Schools,6,134
2018 - 2019,DIV,Radford City Public Schools,7,138
2018 - 2019,DIV,Radford City Public Schools,8,131
2018 - 2019,DIV,Radford City Public Schools,9,137
2018 - 2019,DIV,Radford City Public Schools,10,117
2018 - 2019,DIV,Radford City Public Schools,11,134
2018 - 2019,DIV,Radford City Public Schools,12,121
2018 - 2019,DIV,Rappahannock County Public Schools,,802
2018 - 2019,DIV,Rappahannock County Public Schools,PK,21
2018 - 2019,DIV,Rappahannock County Public Schools,KG,45
2018 - 2019,DIV,Rappahannock County Public Schools,1,45
2018 - 2019,DIV,Rappahannock County Public Schools,2,69
2018 - 2019,DIV,Rappahannock County Public Schools,3,59
2018 - 2019,DIV,Rappahannock County Public Schools,4,57
2018 - 2019,DIV,Rappahannock County Public Schools,5,61
2018 - 2019,DIV,Rappahannock County Public Schools,6,62
2018 - 2019,DIV,Rappahannock County Public Schools,7,61
2018 - 2019,DIV,Rappahannock County Public Schools,8,51
2018 - 2019,DIV,Rappahannock County Public Schools,9,71
2018 - 2019,DIV,Rappahannock County Public Schools,10,66
2018 - 2019,DIV,Rappahannock County Public Schools,11,56
2018 - 2019,DIV,Rappahannock County Public Schools,12,78
2018 - 2019,DIV,Richmond City Public Schools,,24763
2018 - 2019,DIV,Richmond City Public Schools,PK,1570
2018 - 2019,DIV,Richmond City Public Schools,KG,2066
2018 - 2019,DIV,Richmond City Public Schools,1,2039
2018 - 2019,DIV,Richmond City Public Schools,2,2005
2018 - 2019,DIV,Richmond City Public Schools,3,2049
2018 - 2019,DIV,Richmond City Public Schools,4,2030
2018 - 2019,DIV,Richmond City Public Schools,5,2017
2018 - 2019,DIV,Richmond City Public Schools,6,1888
2018 - 2019,DIV,Richmond City Public Schools,7,1654
2018 - 2019,DIV,Richmond City Public Schools,8,1665
2018 - 2019,DIV,Richmond City Public Schools,9,1770
2018 - 2019,DIV,Richmond City Public Schools,10,1542
2018 - 2019,DIV,Richmond City Public Schools,11,1256
2018 - 2019,DIV,Richmond City Public Schools,12,1212
2018 - 2019,DIV,Richmond County Public Schools,,1314
2018 - 2019,DIV,Richmond County Public Schools,PK,37
2018 - 2019,DIV,Richmond County Public Schools,KG,83
2018 - 2019,DIV,Richmond County Public Schools,1,82
2018 - 2019,DIV,Richmond County Public Schools,2,106
2018 - 2019,DIV,Richmond County Public Schools,3,88
2018 - 2019,DIV,Richmond County Public Schools,4,97
2018 - 2019,DIV,Richmond County Public Schools,5,120
2018 - 2019,DIV,Richmond County Public Schools,6,107
2018 - 2019,DIV,Richmond County Public Schools,7,95
2018 - 2019,DIV,Richmond County Public Schools,8,100
2018 - 2019,DIV,Richmond County Public Schools,9,112
2018 - 2019,DIV,Richmond County Public Schools,10,83
2018 - 2019,DIV,Richmond County Public Schools,11,99
2018 - 2019,DIV,Richmond County Public Schools,12,105
2018 - 2019,DIV,Roanoke City Public Schools,,13754
2018 - 2019,DIV,Roanoke City Public Schools,PK,554
2018 - 2019,DIV,Roanoke City Public Schools,KG,1144
2018 - 2019,DIV,Roanoke City Public Schools,1,1120
2018 - 2019,DIV,Roanoke City Public Schools,2,1092
2018 - 2019,DIV,Roanoke City Public Schools,3,1065
2018 - 2019,DIV,Roanoke City Public Schools,4,1060
2018 - 2019,DIV,Roanoke City Public Schools,5,1161
2018 - 2019,DIV,Roanoke City Public Schools,6,1056
2018 - 2019,DIV,Roanoke City Public Schools,7,961
2018 - 2019,DIV,Roanoke City Public Schools,8,919
2018 - 2019,DIV,Roanoke City Public Schools,9,1058
2018 - 2019,DIV,Roanoke City Public Schools,10,945
2018 - 2019,DIV,Roanoke City Public Schools,11,842
2018 - 2019,DIV,Roanoke City Public Schools,12,777
2018 - 2019,DIV,Roanoke County Public Schools,,14121
2018 - 2019,DIV,Roanoke County Public Schools,PK,303
2018 - 2019,DIV,Roanoke County Public Schools,KG,1003
2018 - 2019,DIV,Roanoke County Public Schools,1,918
2018 - 2019,DIV,Roanoke County Public Schools,2,946
2018 - 2019,DIV,Roanoke County Public Schools,3,1025
2018 - 2019,DIV,Roanoke County Public Schools,4,1022
2018 - 2019,DIV,Roanoke County Public Schools,5,1086
2018 - 2019,DIV,Roanoke County Public Schools,6,1113
2018 - 2019,DIV,Roanoke County Public Schools,7,1133
2018 - 2019,DIV,Roanoke County Public Schools,8,1126
2018 - 2019,DIV,Roanoke County Public Schools,9,1128
2018 - 2019,DIV,Roanoke County Public Schools,10,1118
2018 - 2019,DIV,Roanoke County Public Schools,11,1114
2018 - 2019,DIV,Roanoke County Public Schools,12,1086
2018 - 2019,DIV,Rockbridge County Public Schools,,2843
2018 - 2019,DIV,Rockbridge County Public Schools,PK,59
2018 - 2019,DIV,Rockbridge County Public Schools,KG,196
2018 - 2019,DIV,Rockbridge County Public Schools,1,171
2018 - 2019,DIV,Rockbridge County Public Schools,2,169
2018 - 2019,DIV,Rockbridge County Public Schools,3,181
2018 - 2019,DIV,Rockbridge County Public Schools,4,194
2018 - 2019,DIV,Rockbridge County Public Schools,5,214
2018 - 2019,DIV,Rockbridge County Public Schools,6,236
2018 - 2019,DIV,Rockbridge County Public Schools,7,208
2018 - 2019,DIV,Rockbridge County Public Schools,8,218
2018 - 2019,DIV,Rockbridge County Public Schools,9,277
2018 - 2019,DIV,Rockbridge County Public Schools,10,262
2018 - 2019,DIV,Rockbridge County Public Schools,11,225
2018 - 2019,DIV,Rockbridge County Public Schools,12,233
2018 - 2019,DIV,Rockingham County Public Schools,,11931
2018 - 2019,DIV,Rockingham County Public Schools,PG,1
2018 - 2019,DIV,Rockingham County Public Schools,PK,442
2018 - 2019,DIV,Rockingham County Public Schools,KG,808
2018 - 2019,DIV,Rockingham County Public Schools,1,832
2018 - 2019,DIV,Rockingham County Public Schools,2,824
2018 - 2019,DIV,Rockingham County Public Schools,3,871
2018 - 2019,DIV,Rockingham County Public Schools,4,889
2018 - 2019,DIV,Rockingham County Public Schools,5,858
2018 - 2019,DIV,Rockingham County Public Schools,6,891
2018 - 2019,DIV,Rockingham County Public Schools,7,910
2018 - 2019,DIV,Rockingham County Public Schools,8,899
2018 - 2019,DIV,Rockingham County Public Schools,9,959
2018 - 2019,DIV,Rockingham County Public Schools,10,891
2018 - 2019,DIV,Rockingham County Public Schools,11,950
2018 - 2019,DIV,Rockingham County Public Schools,12,906
2018 - 2019,DIV,Russell County Public Schools,,3785
2018 - 2019,DIV,Russell County Public Schools,PK,217
2018 - 2019,DIV,Russell County Public Schools,KG,264
2018 - 2019,DIV,Russell County Public Schools,1,280
2018 - 2019,DIV,Russell County Public Schools,2,254
2018 - 2019,DIV,Russell County Public Schools,3,261
2018 - 2019,DIV,Russell County Public Schools,4,273
2018 - 2019,DIV,Russell County Public Schools,5,293
2018 - 2019,DIV,Russell County Public Schools,6,273
2018 - 2019,DIV,Russell County Public Schools,7,260
2018 - 2019,DIV,Russell County Public Schools,8,311
2018 - 2019,DIV,Russell County Public Schools,9,254
2018 - 2019,DIV,Russell County Public Schools,10,294
2018 - 2019,DIV,Russell County Public Schools,11,292
2018 - 2019,DIV,Russell County Public Schools,12,259
2018 - 2019,DIV,Salem City Public Schools,,3962
2018 - 2019,DIV,Salem City Public Schools,PG,4
2018 - 2019,DIV,Salem City Public Schools,PK,74
2018 - 2019,DIV,Salem City Public Schools,KG,260
2018 - 2019,DIV,Salem City Public Schools,1,278
2018 - 2019,DIV,Salem City Public Schools,2,272
2018 - 2019,DIV,Salem City Public Schools,3,257
2018 - 2019,DIV,Salem City Public Schools,4,317
2018 - 2019,DIV,Salem City Public Schools,5,280
2018 - 2019,DIV,Salem City Public Schools,6,323
2018 - 2019,DIV,Salem City Public Schools,7,306
2018 - 2019,DIV,Salem City Public Schools,8,313
2018 - 2019,DIV,Salem City Public Schools,9,338
2018 - 2019,DIV,Salem City Public Schools,10,338
2018 - 2019,DIV,Salem City Public Schools,11,297
2018 - 2019,DIV,Salem City Public Schools,12,305
2018 - 2019,DIV,Scott County Public Schools,,3534
2018 - 2019,DIV,Scott County Public Schools,PK,130
2018 - 2019,DIV,Scott County Public Schools,KG,266
2018 - 2019,DIV,Scott County Public Schools,1,268
2018 - 2019,DIV,Scott County Public Schools,2,250
2018 - 2019,DIV,Scott County Public Schools,3,277
2018 - 2019,DIV,Scott County Public Schools,4,269
2018 - 2019,DIV,Scott County Public Schools,5,267
2018 - 2019,DIV,Scott County Public Schools,6,255
2018 - 2019,DIV,Scott County Public Schools,7,271
2018 - 2019,DIV,Scott County Public Schools,8,260
2018 - 2019,DIV,Scott County Public Schools,9,266
2018 - 2019,DIV,Scott County Public Schools,10,248
2018 - 2019,DIV,Scott County Public Schools,11,236
2018 - 2019,DIV,Scott County Public Schools,12,271
2018 - 2019,DIV,Shenandoah County Public Schools,,6034
2018 - 2019,DIV,Shenandoah County Public Schools,PG,4
2018 - 2019,DIV,Shenandoah County Public Schools,PK,140
2018 - 2019,DIV,Shenandoah County Public Schools,KG,426
2018 - 2019,DIV,Shenandoah County Public Schools,1,455
2018 - 2019,DIV,Shenandoah County Public Schools,2,416
2018 - 2019,DIV,Shenandoah County Public Schools,3,426
2018 - 2019,DIV,Shenandoah County Public Schools,4,432
2018 - 2019,DIV,Shenandoah County Public Schools,5,485
2018 - 2019,DIV,Shenandoah County Public Schools,6,478
2018 - 2019,DIV,Shenandoah County Public Schools,7,458
2018 - 2019,DIV,Shenandoah County Public Schools,8,423
2018 - 2019,DIV,Shenandoah County Public Schools,9,504
2018 - 2019,DIV,Shenandoah County Public Schools,10,472
2018 - 2019,DIV,Shenandoah County Public Schools,11,492
2018 - 2019,DIV,Shenandoah County Public Schools,12,423
2018 - 2019,DIV,Smyth County Public Schools,,4332
2018 - 2019,DIV,Smyth County Public Schools,PK,145
2018 - 2019,DIV,Smyth County Public Schools,KG,292
2018 - 2019,DIV,Smyth County Public Schools,1,300
2018 - 2019,DIV,Smyth County Public Schools,2,295
2018 - 2019,DIV,Smyth County Public Schools,3,293
2018 - 2019,DIV,Smyth County Public Schools,4,300
2018 - 2019,DIV,Smyth County Public Schools,5,333
2018 - 2019,DIV,Smyth County Public Schools,6,356
2018 - 2019,DIV,Smyth County Public Schools,7,328
2018 - 2019,DIV,Smyth County Public Schools,8,362
2018 - 2019,DIV,Smyth County Public Schools,9,352
2018 - 2019,DIV,Smyth County Public Schools,10,347
2018 - 2019,DIV,Smyth County Public Schools,11,302
2018 - 2019,DIV,Smyth County Public Schools,12,327
2018 - 2019,DIV,Southampton County Public Schools,,2869
2018 - 2019,DIV,Southampton County Public Schools,PK,156
2018 - 2019,DIV,Southampton County Public Schools,KG,216
2018 - 2019,DIV,Southampton County Public Schools,1,183
2018 - 2019,DIV,Southampton County Public Schools,2,190
2018 - 2019,DIV,Southampton County Public Schools,3,219
2018 - 2019,DIV,Southampton County Public Schools,4,188
2018 - 2019,DIV,Southampton County Public Schools,5,257
2018 - 2019,DIV,Southampton County Public Schools,6,229
2018 - 2019,DIV,Southampton County Public Schools,7,206
2018 - 2019,DIV,Southampton County Public Schools,8,192
2018 - 2019,DIV,Southampton County Public Schools,9,220
2018 - 2019,DIV,Southampton County Public Schools,10,225
2018 - 2019,DIV,Southampton County Public Schools,11,192
2018 - 2019,DIV,Southampton County Public Schools,12,196
2018 - 2019,DIV,Spotsylvania County Public Schools,,23686
2018 - 2019,DIV,Spotsylvania County Public Schools,PG,3
2018 - 2019,DIV,Spotsylvania County Public Schools,PK,490
2018 - 2019,DIV,Spotsylvania County Public Schools,KG,1536
2018 - 2019,DIV,Spotsylvania County Public Schools,1,1591
2018 - 2019,DIV,Spotsylvania County Public Schools,2,1716
2018 - 2019,DIV,Spotsylvania County Public Schools,3,1694
2018 - 2019,DIV,Spotsylvania County Public Schools,4,1683
2018 - 2019,DIV,Spotsylvania County Public Schools,5,1864
2018 - 2019,DIV,Spotsylvania County Public Schools,6,1840
2018 - 2019,DIV,Spotsylvania County Public Schools,7,1804
2018 - 2019,DIV,Spotsylvania County Public Schools,8,1899
2018 - 2019,DIV,Spotsylvania County Public Schools,9,2022
2018 - 2019,DIV,Spotsylvania County Public Schools,10,1872
2018 - 2019,DIV,Spotsylvania County Public Schools,11,1813
2018 - 2019,DIV,Spotsylvania County Public Schools,12,1859
2018 - 2019,DIV,Stafford County Public Schools,,29485
2018 - 2019,DIV,Stafford County Public Schools,PK,603
2018 - 2019,DIV,Stafford County Public Schools,KG,1900
2018 - 2019,DIV,Stafford County Public Schools,1,1989
2018 - 2019,DIV,Stafford County Public Schools,2,2071
2018 - 2019,DIV,Stafford County Public Schools,3,2117
2018 - 2019,DIV,Stafford County Public Schools,4,2138
2018 - 2019,DIV,Stafford County Public Schools,5,2246
2018 - 2019,DIV,Stafford County Public Schools,6,2335
2018 - 2019,DIV,Stafford County Public Schools,7,2318
2018 - 2019,DIV,Stafford County Public Schools,8,2277
2018 - 2019,DIV,Stafford County Public Schools,9,2484
2018 - 2019,DIV,Stafford County Public Schools,10,2454
2018 - 2019,DIV,Stafford County Public Schools,11,2223
2018 - 2019,DIV,Stafford County Public Schools,12,2330
2018 - 2019,DIV,Staunton City Public Schools,,2728
2018 - 2019,DIV,Staunton City Public Schools,PK,91
2018 - 2019,DIV,Staunton City Public Schools,KG,190
2018 - 2019,DIV,Staunton City Public Schools,1,215
2018 - 2019,DIV,Staunton City Public Schools,2,228
2018 - 2019,DIV,Staunton City Public Schools,3,186
2018 - 2019,DIV,Staunton City Public Schools,4,198
2018 - 2019,DIV,Staunton City Public Schools,5,230
2018 - 2019,DIV,Staunton City Public Schools,6,187
2018 - 2019,DIV,Staunton City Public Schools,7,215
2018 - 2019,DIV,Staunton City Public Schools,8,216
2018 - 2019,DIV,Staunton City Public Schools,9,210
2018 - 2019,DIV,Staunton City Public Schools,10,170
2018 - 2019,DIV,Staunton City Public Schools,11,200
2018 - 2019,DIV,Staunton City Public Schools,12,192
2018 - 2019,DIV,Suffolk City Public Schools,,14265
2018 - 2019,DIV,Suffolk City Public Schools,PK,501
2018 - 2019,DIV,Suffolk City Public Schools,KG,933
2018 - 2019,DIV,Suffolk City Public Schools,1,1061
2018 - 2019,DIV,Suffolk City Public Schools,2,1091
2018 - 2019,DIV,Suffolk City Public Schools,3,1112
2018 - 2019,DIV,Suffolk City Public Schools,4,1073
